nombre;apellido_1;apellido_2;dni;email;telefono;movil;fecha_nacimiento;curso;fecha_matriculacion;poblacion;provincia;calle;extension;asignatura;nota
Maria isabel;Saez;Castro;6101425P;maria isabel.saez.castro@gmail.com;969188648;650447577;03/08/1997;DevOps & Cloud Computing Full Stack; ;Olaibar;Navarra;Nueva;45 1B;Python; 
Maria isabel;Saez;Castro;6101425P;maria isabel.saez.castro@gmail.com;969188648;650447577;03/08/1997;DevOps & Cloud Computing Full Stack; ;Olaibar;Navarra;Nueva;45 1B;Plataformas Cloud y Kubernetes; 
Maria angeles;Alonso;Herrera;7768582X;maria angeles.alonso.herrera@gmail.com;944798850;669450868;04/04/1994;Desarrollo Web Full Stack; ;Huerta de Arriba;Burgos;Dolores Ibárruri;31 1C;Desarrollo frontend con JavaScript; 
Maria angeles;Alonso;Herrera;7768582X;maria angeles.alonso.herrera@gmail.com;944798850;669450868;04/04/1994;DevOps & Cloud Computing Full Stack;12/10/2023;Huerta de Arriba;Burgos;Dolores Ibárruri;31 1C;Docker;9
Maria angeles;Alonso;Herrera;7768582X;maria angeles.alonso.herrera@gmail.com;944798850;669450868;04/04/1994;DevOps & Cloud Computing Full Stack;12/10/2023;Huerta de Arriba;Burgos;Dolores Ibárruri;31 1C;Base Linux;8
Maria angeles;Alonso;Herrera;7768582X;maria angeles.alonso.herrera@gmail.com;944798850;669450868;04/04/1994;DevOps & Cloud Computing Full Stack;12/10/2023;Huerta de Arriba;Burgos;Dolores Ibárruri;31 1C;Introducción Despliegue en Servidores;5
Maria angeles;Alonso;Herrera;7768582X;maria angeles.alonso.herrera@gmail.com;944798850;669450868;04/04/1994;DevOps & Cloud Computing Full Stack;12/10/2023;Huerta de Arriba;Burgos;Dolores Ibárruri;31 1C;Python;2
Maria angeles;Alonso;Herrera;7768582X;maria angeles.alonso.herrera@gmail.com;944798850;669450868;04/04/1994;DevOps & Cloud Computing Full Stack;12/10/2023;Huerta de Arriba;Burgos;Dolores Ibárruri;31 1C;Plataformas Cloud y Kubernetes;0
Guillermo;Saez;Rodriguez;4010260A;guillermo.saez.rodriguez@gmail.com;971897400;698359706;21/04/2003;Desarrollo de Apps Móviles Full Stack; ;Sant Pol de Mar;Barcelona;Reina Sofía;80 2B;Modelado de datos & SQL; 
Guillermo;Saez;Rodriguez;4010260A;guillermo.saez.rodriguez@gmail.com;971897400;698359706;21/04/2003;Desarrollo de Apps Móviles Full Stack; ;Sant Pol de Mar;Barcelona;Reina Sofía;80 2B;Introducción a GNU/Linux; 
Guillermo;Saez;Rodriguez;4010260A;guillermo.saez.rodriguez@gmail.com;971897400;698359706;21/04/2003;Desarrollo de Apps Móviles Full Stack; ;Sant Pol de Mar;Barcelona;Reina Sofía;80 2B;Arquitectura y código de calidad; 
